@abyssea
1/250/79,Amoeban
1/250/80,Murex
1/245/35,Clionid
1/245/36,Limule

@vermin
1/156/15;1/156/16;1/302/88;1/239/35;1/302/89,Antlion
1/4/111;1/172/70;1/4/112;1/286/81;1/328/82,Bee
1/5/54-55;1/267/125,Beetle
1/310/40;9/0/73-74,Chapuli
1/216/1;1/222/42;5/9/37-38,Chigoe
1/5/50-51;1/258/52;1/258/51;1/258/56,Crawler
1/156/17-18;1/328/87,Diremite
1/5/81-82,Fly
1/288/84;1/335/82,Giant Gnat
1/267/84;5/5/83,Gnat
1/265/107;1/349/10;1/268/5;1/277/9,Mantid
1/4/117-120;1/265/110;1/267/87,Scorpion
1/119/72-75,Spider
1/207/7;1/286/84;1/345/111,Ladybug
9/0/63-64;9/1/107,Twitherym
9/0/68,Twitherym 2
1/258/98;1/286/76,Wamoura
1/258/96-97;1/302/84,Wamouracampa

@undead
1/224/52;1/288/111;1/238/91;1/268/8,Corpselight
1/184/119;1/250/72,Corse
1/5/9-10;4/7/116,Doomed
9/1/5-6,Dullahan
1/6/32-35;1/6/40-43;1/6/48,Fomor 1
1/6/36-39;1/6/49,Fomor 2
1/6/44-47,Fomor 3
1/6/50-53,Fomor 4
1/5/36-37;1/249/51,Ghost
1/5/33-34,Hound
1/263/4;1/265/108;1/349/11;1/268/4,Naraka
1/249/62;1/249/72;4/9/42;4/12/91;1/277/10,Qutrub
1/5/29-32;1/6/62-65;1/9/56-79;1/9/88-103;1/9/120-127;1/10/0-7;1/258/94;1/291/55;4/9/18-25;4/9/27;4/12/70-77,Skeleton 1
1/6/54-61;1/6/66-69;1/9/80-87;1/9/104-119;1/320/80;4/9/28-37;4/12/78-86,Skeleton 2
1/266/68,Skeleton 4
1/272/105,Skeleton 5
1/239/69-70,Vampyr

@trusts
1/309/20,Shantotto
1/310/2,Shantotto II
1/309/58,Domina Shantotto
1/309/21,Naji
1/309/22,Kupipi
1/309/23,Excenmille
1/309/24,Ayame
1/309/83,Ayame (UC)
1/309/25,Nanaa Mihgo
1/309/26,Curilla
1/309/27,Volker
1/309/28,Ajido-Marujido
1/309/29,Trion
1/309/30,Zeid
1/309/106,Zeid II
1/309/31,Lion
1/309/101,Lion II
1/309/32,Tenzen
1/309/117,Tenzen II
1/309/33,Mihli Aliapoh
1/309/34,Valaineral
1/309/35,Joachim
1/309/36,Naja Salaheem
1/309/86,Naja Salaheem (UC)
1/309/37,Prishe
1/309/102,Prishe II
1/309/38,Ulmia
1/309/39,Shikaree Z
1/309/40,Cherukiki
1/309/41,Iron Eater
1/309/42,Gessho
1/309/43,Gadalar
1/309/44,Rainemard
1/309/45,Ingrid
1/309/122,Ingrid II
1/309/46,Lehko Habhoka
1/309/47,Nashmeira
1/309/103,Nashmeira II
1/309/48,Zazarg
1/309/49,Ovjang
1/309/50,Mnejing
1/309/51,Sakura
1/309/52,Luzaf
1/309/53,Najelith
1/309/54,Aldo
1/309/85,Aldo (UC)
1/309/55,Moogle
1/309/56,Fablinix
1/309/57,Maat
1/309/84,Maat (UC)
1/309/59,Star Sybil
1/309/60,Karaha-Baruha
1/309/61,Cid
1/309/62,Gilgamesh
1/309/63,Areuhat
1/309/64,Semih Lafihna
1/309/65,Elivira
1/309/66,Noillurie
1/309/67,Lhu Mhakaracca
1/309/68,Ferreous Coffin
1/309/69,Lilisette
1/309/104,Lilisette II
1/309/70,Mumor
1/309/124,Mumor II
1/309/71,Uka Totlihn
1/309/72,Excenmille (S)
1/309/73,Klara
1/309/74,Romaa Mihgo
1/309/75,Kuyin Hathdenna
1/309/76,Rahal
1/309/77,Koru-Moru
1/309/78,Pieuje (UC)
1/309/79,Flaviria (UC)
1/309/80,Invincible Shield (UC)
1/309/81,Apururu (UC)
1/309/82,Jakoh Wahcondalo (UC)
1/309/87,Babban Mheillea
1/309/88,Abenzio
1/309/89,Rughadjeen
1/309/90,Kukki-Chebukki
1/309/91,Margret
1/309/92,Chacharoon
1/309/93,Lhe Lhangavo
1/309/94,Arciela
1/309/105,Arciela II
1/309/95,Mayakov
1/309/96,Qultada
1/309/97,Adelheid
1/309/98,Amchuchu
1/309/99,Brygid
1/309/100,Mildaurion
1/309/107,Halver
1/309/108,Rongelouts
1/309/109,Leonoyne
1/309/110,Maximilian
1/309/111,Kayeel-Payeel
1/309/112,Robel-Akbel
1/309/113,Kupofried
1/309/114,Selh'teus
1/309/115,Yoran-Oran (UC)
1/309/116,Sylvie (UC)
1/309/118,Abquhbah
1/309/119,Balamor
1/309/120,August
1/309/121,Rosulatia
1/309/123,Teodor
1/309/125,Ullegore
1/309/126,Makki-Chebukki
1/309/127,King of Hearts
1/310/0,Morimar
1/310/1,Darrculin
1/310/3,Iroha
1/310/4,Iroha II
1/310/5,Ark Angel HM
1/310/6,Ark Angel EV
1/310/7,Ark Angel MR
1/310/8,Ark Angel TT
1/310/9,Ark Angel GK
1/310/10,Ygnas
1/310/11,Cornelia
1/310/12,Monberaux

@sea
3/10/66-77,Aern
1/258/57,Euvhi
3/10/45,Ghrah
1/258/59;3/10/36,Hpemde
1/259/13;3/9/83,Omega
1/258/60;3/10/39,Phuabo
3/9/81-82,Ultima
1/249/53;1/258/44,Xzomit
1/301/99,Yovra
1/258/61-62,Zdei

@plantoids
1/277/5;1/335/83;1/353/34,Belladonna
1/152/123-124,Flytrap
1/5/40-41;1/291/56;5/8/20,Funguar
1/4/125-126,Goobbue
1/293/49;9/0/58-59,Leafkin
1/4/127;1/95/68;1/258/47;1/302/91;1/311/0;1/353/119;6/0/13,Mandragora 1
1/250/2,Mandragora 2
1/5/0;1/241/87,Mandragora 3
1/241/88;1/267/111,Mandragora 4
1/361/115,Mandragora 5
1/5/42;1/249/68;1/320/34;1/333/29;1/5/43;1/291/54;1/326/116;1/361/70;4/7/121;5/9/36;1/328/86;1/241/84,Morbol
1/288/85,Panopt
1/207/9;1/267/85;5/5/96,Rafflesia
1/5/38-39;1/265/102,Sabotender
1/5/48-49,Sapling
1/324/52;9/0/78;9/1/104;1/328/80,Snapweed
1/5/46-47;1/97/12;1/148/68-69;1/150/13;1/306/51;1/306/68,Treant
1/311/32;9/1/77,Vine

@objects
