@Hand
29/90,Avengers
29/91,Darksteel Katars
29/92,Katars
29/93,Jamadhars
29/94,Exocets
29/95,Darksteel Claws
29/96,Claws
29/97,Mythril Claws
29/98,Cermet Claws
29/99,Cesti
29/100,Lizard Cesti
29/101,Poison Cesti
29/102,Darksteel Knuckles
29/103,Bronze Knuckles
29/104,Brass Knuckles
29/105,Metal Knuckles
29/106,Mythril Knuckles
29/107,Koenigs Knuckles
29/108,Diamond Knuckles
29/109,Manoples
29/110,Gold Patas
29/111,Patas
29/112,Bone Patas
29/113,Cat Baghnakhs
29/114,Brass Baghnakhs
29/115,Baghnakhs
29/116,Rune Baghnakhs
136/116,Spharai
272/125,Spharai (99)
149/7,Adargas
165/119,Sainti
169/109,Darksteel Sainti
171/50,Adaman Sainti
172/3,Black Adargas
173/67,Hades Sainti
203/90,Glanzfaust
272/124,Glanzfaust (99)
203/91,Kenkonken
272/123,Kenkonken (99)
210/9,Shenlong's Baghnakhs
241/114,Verethragna
272/122,Verethragna (99)
245/50,Afflictors
268/52,Girru
280/92,Blutkrallen
293/78,Tlalpoloani 
303/38,Forefront Cesti
314/90,Worm Feelers
318/123,Ohrmazd
328/6,Blurred claws
328/7,Nibiru sainti
340/123,Denouements
342/96,Godhands
352/99,Aphelion Knuckles
355/67,Premium Mogti
355/119,Sagitta (su5)
358/126,Kaja Knuckles
360/12,Karambit

@Dagger
30/2,Valiant Knife
30/3,Darksteel Knife
30/4,Bronze Knife
30/5,Knife
30/6,Mythril Knife
30/7,Cermet Knife
30/8,Misericorde
30/9,Bronze Dagger
30/10,Brass Dagger
30/11,Dagger
30/12,Mythril Dagger
30/13,Darksteel Baselard
30/14,Baselard
30/15,Mythril Baselard
30/16,Darksteel Kukri
30/17,Kukri
30/18,Mythril Kukri
30/19,Cermet Kukri
30/20,Heart Snatcher
30/21,Parrying Knife
30/22,Combat Caster's Dagger
30/23,Kris
30/24,Triple Dagger
30/25,Bone Knife
98/54,Kard
136/102,Mandau
273/11,Mandau (99)
136/114,Raetic Kris
147/122,Harpe
163/99,Jambiya
172/2,Supernal Knife
173/26,Matron's Knife
175/3,Khimaira Jambiya
199/115,Darksteel Jambiya
199/116,Thug's Jambiya
203/86,Vajra
273/26,Vajra (99)
203/125,Carnwenhan
273/30,Carnwenhan (99)
204/84,Terpsichore
273/36,Terpsichore (99)
209/126,Azoth
219/12,Ermine's Tail
226/119,Machismo
245/48,Twashtar
273/38,Twashtar (99)
245/104,Auric Dagger
262/3,Twilight Dagger
264/88,Mantodea Harpe
265/127,Lux Pugio
266/74,Coruscanti
269/43,Asteria
280/16,Blustery Dagger
281/27,Sandung
289/82,Coalition Dirk 
291/64,Izhiikoh
319/30,Ipetam
324/108,Rhadamanthus
327/0,Odium
328/127,Nibiru knife
343/51,Sangoma
343/53,Aeneas
307/114,Camaraderie dagger
354/21,Chicken Knife II
356/25,Gandring (su5)
358/27,Aern Dagger
358/97,Qutrub Dagger
359/27,Kaja Knife
360/34,Tauret
362/33,Wind Knife
362/100,Norgish Dagger
362/101,Esikuva

@Sword
30/26,Colichemarde
30/27,Small Sword
30/28,Bilbo
30/29,Junior Musketeer's Tuck
30/30,Joyeuse
30/31,Schlaeger
30/32,Duel Rapier
30/33,Degen
30/34,Mythril Degen
30/35,Epee
30/36,Fleuret
30/37,Schwert
30/38,Royal Guard's Fleuret
30/94,Spatha
30/95,Gold Sword
30/96,Longsword
30/97,Knight's Sword
30/98,Saber
30/99,Rune Blade
30/100,Sapara
30/101,Scimitar
30/102,Tulwar
30/103,Hanger
30/104,Ridill
30/105,Darksteel Falchion
30/106,Platinum Cutlass
30/107,Falchion
30/108,Cutlass
30/109,Xiphos
30/110,Brass Xiphos
30/111,Gladius
30/112,Darksteel Sword
30/113,Bronze Sword
30/114,Jagdplaute
30/115,Iron Sword
30/116,Mythril Sword
30/117,Dainslaif
30/118,Cermet Sword
30/119,Anelace
30/120,Katzbalger
30/121,Broadsword
30/122,Coral Sword
30/123,Hrotti
30/124,Bastard Sword
30/125,Hunting Sword
30/126,Espadon
30/127,Nadrs
31/0,Ancient Sword
31/1,Kaiser Sword
31/2,Dissector
31/3,Holy Sword
31/4,Gluttony Sword
31/5,Wing Sword
120/6,Excalibur
273/12,Excalibur (99)
150/27,Shotel
163/0,Kilij
164/110,Macuahuitl
169/108,Darksteel Kilij
170/99,Adaman Kilij
171/49,Sanguine Sword
175/4,Hauteclaire
183/69,Cermet Kilij
184/82,Hofud
203/82,Unknown Sword
203/83,Tizona
273/35,Tizona (99)
203/84,Murgleis
273/25,Murgleis (99)
203/124,Burtgang
273/27,Burtgang (99)
209/127,Fragarach
211/43,Organics
226/120,Concordia
241/111,Almace
273/39,Almace (99)
245/105,Tyrfing
263/98,Sagasinger
266/97,Ephemeron
279/9,Sanus Ensis
279/11,Ark Saber
279/12,Ark Sword
289/83,Coalition blade
291/65,Buramenk'ah
307/115,Camaraderie blade
319/31,Claidheamh Soluis
324/109,Acclimator
326/126,Excalipoor
329/0,Nibiru blade
334/93,Medeina kilij
335/111,Brilliance
335/113,Vampirism
341/17,Fettering blade
341/66,Reikiko
343/54,Sequence
351/125,Fermion sword
353/81,Firetongue
353/122,Onion Sword II
354/95,Blizzard Brand
355/12,Save the Queen II
355/82,Kam'lanaut's Sword
356/30,Crocea Mors (su5)
357/19,Holy Sword (Unused)
358/26,Aern Sword
359/28,Kaja Sword
360/35,Naegling

@G.Sword
29/37,Reserve Captain's Greatsword
29/38,Darksteel Claymore
29/39,Claymore
29/40,Mythril Claymore
29/41,Glorious Sword
29/42,Arondight
29/43,Zweihander
29/44,Two-Handed Sword
29/45,Greatsword
29/46,Ascalon
29/47,Flamberge
29/48,Faussar
31/25,Judge's Sword (GM)
