---,Level,Name,Description,Slot,Mesh,Race
Elvaan_Female_Body_Default,"1","None","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Default/Default.Default'","Elvaan_Female"
Elvaan_Female_Body_Leather_Vest,"1","Leather Vest","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Leather_Vest/Leather_Vest.Leather_Vest'","Elvaan_Female"
Elvaan_Female_Body_Breastplate,"1","Breastplate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Breastplate/Breastplate.Breastplate'","Elvaan_Female"
Elvaan_Female_Body_Tunic,"1","Tunic","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Tunic/Tunic.Tunic'","Elvaan_Female"
Elvaan_Female_Body_Shinobi_Gi,"1","Shinobi Gi","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Shinobi_Gi/Shinobi_Gi.Shinobi_Gi'","Elvaan_Female"
Elvaan_Female_Body_Chainmail,"1","Chainmail","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Chainmail/Chainmail.Chainmail'","Elvaan_Female"
Elvaan_Female_Body_Lizard_Jerkin,"1","Lizard Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Lizard_Jerkin/Lizard_Jerkin.Lizard_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Raptor_Jerkin,"1","Raptor Jerkin","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Raptor_Jerkin/Raptor_Jerkin.Raptor_Jerkin'","Elvaan_Female"
Elvaan_Female_Body_Elvaan_Bodice,"1","Elvaan Bodice","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/Elvaan_Bodice/Elvaan_Bodice.Elvaan_Bodice'","Elvaan_Female"
Elvaan_Female_Body_HaraAte,"1","Hara-Ate","","Body","SkeletalMesh'/Game/FF11/Characters/Gear/Elvaan_Female/Body/HaraAte/HaraAte.HaraAte'","Elvaan_Female"
