---,LBS_ID,Name,PosRot,PosX,PosY,PosZ,Content,Zone,Race,Face,Head,Body,Hands,Legs,Feet,Main,Sub,Range,IsVisible
16781339_Laiteconce,16781339,"Laiteconce","136","4.066","-3.500","-10.450","COP","Phanauet_Channel","Elvaan_Female","Elvaan_Female_F1B","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_Chocobo_Hose","Elvaan_Female_Feet_Solea","","","","True"
16781340_Luquillaue,16781340,"Luquillaue","136","4.066","-3.500","-10.450","COP","Phanauet_Channel","Elvaan_Female","Elvaan_Female_F1A","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_Chocobo_Hose","Elvaan_Female_Feet_Solea","","","","True"
16781345_Ineuteniace,16781345,"Ineuteniace","197","11.701","-2.000","1.360","COP","Phanauet_Channel","Elvaan_Male","Elvaan_Male_F8A","Elvaan_Male_Head_Wool_Hat","Elvaan_Male_Body_Carpenters_Apron","Elvaan_Male_Hands_Fishermans_Gloves","Elvaan_Male_Legs_Fishermans_Hose","Elvaan_Male_Feet_Default","","","","True"
16781346_Eunirange,16781346,"Eunirange","173","4.397","-2.000","-2.976","COP","Phanauet_Channel","Elvaan_Male","Elvaan_Male_F7A","Elvaan_Male_Head_Default","Elvaan_Male_Body_Fishermans_Tunica","Elvaan_Male_Hands_Fishermans_Gloves","Elvaan_Male_Legs_Fishermans_Hose","Elvaan_Male_Feet_Fishermans_Boots","","","","True"
16785744_Chuaie,16785744,"Chuaie","134","231.384","-2.000","-531.830","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F4B","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_White_Slacks","Elvaan_Female_Feet_Solea","","","","True"
16785745_Ratoulle,16785745,"Ratoulle","103","-133.959","-2.000","60.839","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F4A","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_White_Slacks","Elvaan_Female_Feet_Solea","","","","True"
16785746_Felourie,16785746,"Felourie","107","-300.134","-1.999","505.016","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F6B","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Royal_Knights_Aketon","Elvaan_Female_Hands_Elvaan_Gauntlets","Elvaan_Female_Legs_Linen_Slacks","Elvaan_Female_Feet_Solea","","","","True"
16785754_Beugungel,16785754,"Beugungel","195","-333.729","-5.538","475.647","COP","Carpenters_Landing","Elvaan_Male","Elvaan_Male_F8B","Elvaan_Male_Head_Hachimaki","Elvaan_Male_Body_Carpenters_Apron","Elvaan_Male_Hands_Default","Elvaan_Male_Legs_Default","Elvaan_Male_Feet_Default","","","","True"
16785771_Anguenet,16785771,"Anguenet","45","214.672","-2.013","-527.561","COP","Carpenters_Landing","Elvaan_Male","Elvaan_Male_F1A","Elvaan_Male_Head_Default","Elvaan_Male_Body_Bronze_Harness","Elvaan_Male_Hands_Bronze_Mittens","Elvaan_Male_Legs_Bronze_Subligar","Elvaan_Male_Feet_Bronze_Leggings","","","","True"
16785777_Cofisephe,16785777,"Cofisephe","177","210.327","-2.885","-532.511","COP","Carpenters_Landing","Elvaan_Female","Elvaan_Female_F1B","Elvaan_Female_Head_Circlet","Elvaan_Female_Body_Gambison","Elvaan_Female_Hands_Default","Elvaan_Female_Legs_Slacks","Elvaan_Female_Feet_Solea","","","","True"
